"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2023","OK","Oklahoma","Beaver","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","4.1",,,"3.6","4.7","5,018","3,798","40007","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-100.476794921527 36.7496415387971)"
"2023","OK","Oklahoma","Cotton","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","4.7",,,"4.1","5.3","5,427","4,179","40033","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-98.3721992106375 34.2900586392925)"
"2023","OK","Oklahoma","Greer","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Crude prevalence","13.0",,,"11.1","14.9","5,466","4,363","40055","HLTHOUT","DIABETES","CrdPrv","Diabetes","POINT (-99.560687947098 34.9357323398987)"
"2023","OK","Oklahoma","Kiowa","BRFSS","Health Outcomes","Stroke among adults","%","Age-adjusted prevalence","3.9",,,"3.5","4.4","8,398","6,366","40075","HLTHOUT","STROKE","AgeAdjPrv","Stroke","POINT (-98.9808976739666 34.9163225627227)"
"2023","OK","Oklahoma","Mayes","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","25.1",,,"21.5","28.8","39,889","30,559","40097","HLTHOUT","DEPRESSION","CrdPrv","Depression","POINT (-95.2306650873753 36.3019893623476)"
"2023","OK","Oklahoma","Muskogee","BRFSS","Health Outcomes","Stroke among adults","%","Age-adjusted prevalence","4.0",,,"3.6","4.5","66,677","50,493","40101","HLTHOUT","STROKE","AgeAdjPrv","Stroke","POINT (-95.3797854950482 35.6164240462291)"
"2023","OK","Oklahoma","Oklahoma","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.5",,,"10.2","12.7","808,866","605,014","40109","HLTHOUT","CASTHMA","CrdPrv","Current Asthma","POINT (-97.4071852848576 35.5514988566603)"
"2023","OK","Oklahoma","Oklahoma","BRFSS","Health Outcomes","Obesity among adults","%","Age-adjusted prevalence","37.9",,,"34.1","41.6","808,866","605,014","40109","HLTHOUT","OBESITY","AgeAdjPrv","Obesity","POINT (-97.4071852848576 35.5514988566603)"
"2023","OK","Oklahoma","Pontotoc","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","3.8",,,"3.3","4.2","38,396","28,720","40123","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-96.6840015218125 34.7283176992879)"
"2023","OK","Oklahoma","Blaine","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","4.3",,,"3.8","4.9","8,539","6,321","40011","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-98.4333112930991 35.8752977571278)"
